language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
San Jerónimo Tecóatl Mazatec,maa,Otomanguean,NumN,V,X,QuantN,1947/100,359/69,223/16,134/15,113/15,22/9,151/107,19/0,3/0,53/19,4/17,140/78,8/6,16/12,57/4,301/5,7/0
Madurese,mad,Austronesian,_,V,X,QuantN,307/80,54/83,62/25,20/23,33/15,8/6,26/55,7/1,0/4,8/16,1/6,28/30,2/0,9/5,20/1,67/16,1/0
Mafa,maf,Afro-Asiatic,NNum,_,_,NQuant,106/161,30/104,5/64,10/32,10/31,0/8,8/76,0/6,0/0,4/21,0/6,10/58,0/0,0/8,3/11,20/64,0/2
Marshallese,mah,Austronesian,NumN,_,_,QuantN,3326/162,491/159,329/89,144/79,171/46,94/14,325/63,43/6,22/10,183/37,15/5,171/40,159/27,98/26,105/9,259/16,20/3
Maithili,mai,Indo-European,NumN,_,_,QuantN,612/50,128/9,79/6,42/1,44/0,8/0,88/2,6/0,4/0,24/0,6/0,72/2,2/1,9/0,16/0,103/7,2/0
Jalapa De Díaz Mazatec,maj,Otomanguean,NumN,V,X,QuantN,727/42,116/27,74/12,43/10,38/9,7/5,54/32,7/0,0/4,19/7,0/6,34/33,4/4,7/2,19/2,95/7,1/0
Makasar,mak,Austronesian,NumN,_,_,QuantN,434/50,83/27,49/14,30/3,29/7,5/5,71/9,7/0,0/1,21/2,4/3,36/21,4/1,5/4,19/0,64/1,3/0
Malayalam,mal,Dravidian,NumN,_,_,QuantN,311/16,82/12,46/5,26/6,34/1,7/0,54/4,6/0,0/0,19/4,4/0,44/8,4/0,2/0,13/0,40/8,1/1
Mam,mam,Mayan,NumN,_,_,QuantN,5298/208,904/111,600/54,328/12,303/25,133/9,599/31,59/3,26/1,234/20,25/11,268/77,122/9,101/16,157/6,474/11,18/0
Chiquihuitlán Mazatec,maq,Otomanguean,NumN,_,_,QuantN,780/29,114/17,72/16,46/5,43/4,8/3,78/7,7/0,1/3,26/1,3/4,42/25,9/1,7/0,19/2,99/2,5/0
Marathi,mar,Indo-European,NumN,_,_,QuantN,450/32,101/15,79/5,37/0,42/0,8/0,80/4,6/1,2/0,24/1,6/0,54/2,5/0,6/0,16/1,98/6,4/0
Huautla Mazatec,mau,Otomanguean,NumN,_,_,QuantN,675/62,118/27,74/5,54/2,43/2,8/2,78/11,6/0,1/0,24/2,3/3,64/23,8/2,6/4,20/1,104/1,4/0
Sateré-Mawé,mav,Tupian,NumN,_,_,QuantN,174/25,75/21,58/5,15/12,27/8,9/0,48/12,6/0,0/0,16/2,3/3,26/22,0/0,3/4,14/1,12/2,0/0
Mampruli,maw,Atlantic-Congo,NNum,_,_,NQuant,73/99,35/92,20/58,4/43,9/33,0/11,18/66,3/5,1/1,3/16,0/6,14/43,0/8,0/6,3/16,29/46,0/2
Central Mazahua,maz,Otomanguean,NumN,_,_,QuantN,691/34,103/19,69/7,43/1,43/2,8/1,66/12,6/2,2/2,24/1,4/3,41/21,5/1,6/3,16/2,85/11,3/0
Western Bukidnon Manobo,mbb,Austronesian,NumN,_,_,QuantN,316/37,111/29,68/8,50/0,41/3,10/2,76/13,6/2,0/1,20/2,4/3,62/21,9/1,6/0,17/2,82/0,1/0
Macushi,mbc,Cariban,NumN,V,X,QuantN,183/29,94/16,57/8,23/10,35/4,10/5,88/23,5/3,0/1,16/5,1/4,28/9,1/0,4/0,20/4,60/8,0/0
Dibabawon Manobo,mbd,Austronesian,NumN,_,_,QuantN,317/21,91/23,62/7,41/3,39/4,7/5,76/10,8/0,0/0,22/0,2/4,46/15,8/1,4/3,18/1,56/4,2/0
Baba Malay,mbf,Austronesian,NumN,V,X,QuantN,823/62,123/19,78/6,39/1,43/2,10/0,84/7,8/0,1/4,22/2,2/4,53/21,9/1,7/2,16/1,127/7,5/0
Mangseng,mbh,Austronesian,NNum,V,1/2,NQuant,139/88,47/74,16/58,19/28,15/24,1/10,13/69,4/3,3/1,8/15,1/4,10/44,0/1,0/5,0/21,24/42,1/0
Ilianen Manobo,mbi,Austronesian,NumN,V,X,QuantN,386/31,111/20,67/10,51/1,42/2,10/2,75/10,7/1,3/1,18/3,2/5,48/18,7/1,9/0,18/1,77/1,1/0
Nadëb,mbj,Nadahup,NumN,_,_,QuantN,137/35,88/16,62/5,28/2,42/1,8/0,67/4,5/0,0/1,23/3,4/1,58/10,1/0,6/1,16/0,85/4,2/0
Maxakalí,mbl,Nuclear-Macro-Je,_,V,X,_,88/51,45/57,22/48,8/23,17/20,3/4,30/46,4/1,0/1,7/16,4/2,24/24,0/0,3/4,0/16,20/18,1/0
Sarangani Manobo,mbs,Austronesian,NumN,_,_,QuantN,511/27,151/23,81/16,53/2,54/6,13/1,114/16,14/0,8/1,37/2,5/4,83/9,18/2,22/5,32/1,73/0,6/1
Matigsalug Manobo,mbt,Austronesian,NumN,V,X,QuantN,444/43,107/20,64/11,43/1,41/5,8/3,78/7,8/0,0/1,23/2,2/5,40/26,7/1,6/2,18/1,94/2,2/1
Maca,mca,Matacoan,NumN,_,_,QuantN,575/17,101/21,64/9,51/1,53/2,10/0,78/11,7/0,0/0,22/6,5/3,48/21,2/1,10/4,28/3,96/3,3/0
Machiguenga,mcb,Arawakan,NumN,_,_,QuantN,161/22,59/18,46/14,23/2,22/13,9/0,37/16,7/0,0/0,11/7,1/2,13/13,3/0,4/4,14/1,24/0,0/0
Sharanahua,mcd,Pano-Tacanan,NumN,_,_,QuantN,18/11,47/61,26/33,21/12,26/8,7/2,34/24,6/0,0/0,13/12,1/3,37/8,1/2,7/2,14/0,5/2,0/1
Matsés,mcf,Pano-Tacanan,_,V,X,QuantN,15/16,36/38,32/10,6/15,18/8,4/2,11/31,2/2,0/0,7/7,1/3,7/19,0/0,1/5,2/7,6/1,1/0
Mbunda,mck,Atlantic-Congo,NNum,_,_,NQuant,353/341,124/386,65/246,54/112,53/109,13/71,71/260,13/30,5/11,18/148,3/20,28/121,16/114,23/67,34/111,30/142,2/7
Masana,mcn,Afro-Asiatic,NNum,_,_,NQuant,360/579,119/583,89/352,52/212,44/192,11/106,43/341,7/53,11/25,18/193,4/18,10/167,6/209,14/136,12/106,22/129,1/7
Coatlán Mixe,mco,Mixe-Zoque,NumN,V,X,QuantN,641/34,104/16,62/7,41/3,41/0,10/1,68/13,6/0,0/0,23/1,1/5,34/25,8/0,6/2,20/1,56/1,1/0
Makaa,mcp,Atlantic-Congo,NNum,V,1/2,QuantN,296/109,34/91,13/74,21/32,9/37,3/9,9/78,2/7,2/2,8/19,0/7,8/61,1/7,0/9,1/26,67/18,2/0
Ese,mcq,Koiarian,NNum,_,_,_,80/104,42/72,24/46,7/31,9/30,2/8,18/58,1/8,0/0,8/17,1/5,17/37,1/0,0/7,2/15,25/22,1/0
Cameroon Mambila,mcu,Atlantic-Congo,NNum,_,_,_,80/95,47/96,4/79,8/38,5/42,2/10,14/72,2/5,1/3,6/19,0/7,9/64,1/8,0/9,4/25,29/32,0/0
Mada (Nigeria),mda,Atlantic-Congo,NNum,_,_,_,181/135,62/71,14/58,23/26,8/32,2/9,18/63,3/5,3/1,7/15,0/5,16/44,2/8,0/9,5/15,27/33,2/0
Male (Ethiopia),mdy,Ta-Ne-Omotic,NumN,_,_,QuantN,278/29,116/11,62/9,45/10,43/1,11/1,78/3,7/0,0/0,24/1,5/2,58/5,8/0,7/3,15/5,86/14,2/0
Melpa,med,Nuclear Trans New Guinea,NNum,V,X,QuantN,56/74,49/62,35/35,13/17,12/18,2/6,24/56,3/4,3/0,5/15,2/2,21/35,0/3,1/6,3/13,20/11,0/2
Mengen,mee,Austronesian,NNum,_,_,_,100/73,57/76,21/62,26/18,11/25,3/6,19/64,1/5,0/0,5/17,0/6,12/49,0/0,0/4,1/17,44/46,2/2
Meyah,mej,East Bird's Head,NNum,V,1/3,QuantN,77/20,59/49,13/50,7/25,11/31,4/3,26/101,4/3,0/0,7/15,1/4,6/45,0/3,1/5,2/23,26/16,0/0
Mekeo,mek,Austronesian,NNum,_,_,_,109/125,37/86,23/51,8/28,9/30,1/10,18/62,0/5,1/0,4/17,3/3,27/29,0/2,1/7,0/18,35/53,0/2
Mende (Sierra Leone),men,Mande,NNum,_,_,NQuant,86/224,37/103,3/69,15/34,10/33,2/10,16/67,2/5,0/0,7/17,1/5,25/41,0/5,3/4,3/21,26/71,1/1
Merey,meq,Afro-Asiatic,NNum,_,_,NQuant,80/113,36/107,12/71,15/38,9/37,3/9,24/53,3/5,1/3,4/19,1/4,4/51,0/2,0/8,6/27,22/35,0/0
Motu,meu,Austronesian,NNum,_,_,NQuant,315/1362,95/541,54/345,19/202,31/179,11/101,37/333,2/52,3/27,14/153,4/14,28/132,14/131,8/134,13/100,29/212,1/8
Morisyen,mfe,Indo-European,NumN,_,_,QuantN,993/36,110/23,69/11,41/1,43/2,10/0,78/8,6/1,1/0,25/1,2/4,29/26,6/1,4/4,14/2,98/1,4/0
Matal,mfh,Afro-Asiatic,NNum,_,_,NQuant,85/133,31/97,6/74,17/35,13/27,0/13,16/61,2/6,0/1,7/18,0/6,7/56,0/9,1/6,2/19,21/47,1/0
Wandala,mfi,Afro-Asiatic,NNum,_,_,_,121/91,38/90,26/54,25/22,7/34,2/10,24/56,2/5,0/3,0/22,0/5,12/72,0/3,2/7,4/19,27/26,0/1
North Mofu,mfk,Afro-Asiatic,NNum,_,_,NQuant,84/130,22/115,14/73,11/42,7/38,0/13,21/70,1/7,1/4,5/20,0/8,4/69,0/5,0/8,5/27,7/63,0/2
Moba,mfq,Atlantic-Congo,NNum,_,_,NQuant,83/60,37/93,27/56,6/42,11/36,1/9,11/77,3/5,1/1,6/21,3/4,32/39,2/6,0/7,2/18,14/56,1/0
Mayo,mfy,Uto-Aztecan,NumN,_,_,QuantN,374/21,120/13,63/2,44/1,45/0,11/0,87/5,8/1,2/2,25/1,5/1,59/11,4/1,7/0,17/3,93/5,2/0
Mabaan,mfz,Nilotic,NNum,V,1/2,NQuant,172/61,38/76,17/53,18/27,15/26,3/6,23/54,4/4,0/0,4/21,2/6,13/44,0/1,1/5,1/14,18/33,0/2
Morokodo,mgc,Central Sudanic,NNum,_,_,NQuant,47/39,14/69,23/29,4/14,10/22,0/7,3/20,3/1,0/1,3/2,0/4,7/28,0/1,0/8,1/12,16/26,0/0
Makhuwa-Meetto,mgh,Atlantic-Congo,NNum,_,_,NQuant,17/36,11/43,2/31,3/13,3/13,0/4,14/41,4/2,0/1,4/12,0/2,5/16,3/6,6/13,5/9,1/9,0/1
Ma'di,mhi,Central Sudanic,NNum,_,_,NQuant,73/156,28/110,15/65,6/46,8/36,4/8,20/66,2/6,0/0,2/22,2/5,10/56,1/8,0/10,1/20,15/62,0/2
Mauwake,mhl,Nuclear Trans New Guinea,NNum,V,X,QuantN,82/58,45/75,26/47,13/33,10/26,1/7,22/75,5/2,0/0,5/14,2/3,15/25,1/2,1/2,1/26,28/12,0/0
Eastern Mari,mhr,Uralic,NumN,_,_,QuantN,231/40,135/8,76/3,54/1,41/3,11/1,87/0,8/0,4/0,25/1,6/0,72/2,10/1,8/2,18/2,91/25,2/0
Maru,mhx,Sino-Tibetan,NumN,V,X,NQuant,31/149,65/71,71/14,25/21,29/19,8/4,23/63,5/1,5/0,7/15,4/2,41/20,2/4,6/0,14/5,30/75,0/2
Ma'anyan,mhy,Austronesian,NumN,V,X,QuantN,565/64,120/21,73/13,50/3,46/2,12/0,75/11,8/2,0/5,18/8,2/4,38/12,9/0,7/2,19/0,88/5,2/0
Atatláhuca Mixtec,mib,Otomanguean,NumN,_,_,QuantN,742/53,125/20,73/4,54/0,45/0,9/2,85/5,7/0,0/0,25/1,3/4,64/20,8/1,10/4,20/0,117/0,5/1
Mi'kmaq,mic,Algic,NumN,_,_,QuantN,154/20,96/22,59/14,36/7,43/2,7/5,72/7,5/0,5/0,22/1,5/2,30/18,6/2,5/1,8/3,59/1,0/0
Ocotepec Mixtec,mie,Otomanguean,NumN,_,_,QuantN,770/48,121/22,73/4,55/1,46/0,9/2,84/6,7/0,0/0,25/0,2/4,70/22,9/1,7/4,20/1,116/2,5/1
Mofu-Gudur,mif,Afro-Asiatic,NNum,V,X,NQuant,114/96,41/103,16/63,21/28,7/34,1/12,21/64,4/3,0/0,6/18,0/6,6/57,1/5,6/3,2/16,22/46,0/2
San Miguel El Grande Mixtec,mig,Otomanguean,NumN,_,_,QuantN,815/51,124/20,77/2,52/2,47/0,10/1,82/7,7/1,0/1,25/1,4/1,74/21,10/0,8/4,19/3,102/4,4/0
Chayuco Mixtec,mih,Otomanguean,NumN,_,_,QuantN,700/40,111/21,74/8,55/2,42/3,8/3,70/11,7/0,1/3,20/4,5/3,44/29,9/1,8/2,20/0,94/4,3/0
Peñoles Mixtec,mil,Otomanguean,NumN,_,_,QuantN,352/24,94/21,69/10,48/1,43/0,8/0,63/6,6/0,0/1,21/3,4/2,46/13,6/1,8/0,17/1,72/5,2/0
Minangkabau,min,Austronesian,NumN,_,_,QuantN,462/63,105/31,76/13,45/5,41/6,8/1,76/11,7/0,2/3,23/2,3/4,35/22,9/1,11/1,20/0,76/7,2/0
Pinotepa Nacional Mixtec,mio,Otomanguean,NumN,_,_,QuantN,525/37,105/19,70/9,41/5,42/3,10/0,63/4,6/1,0/0,23/2,3/1,34/17,7/1,10/0,18/1,90/4,4/0
Mískito,miq,Misumalpan,NNum,_,_,NQuant,360/1683,105/416,57/274,47/131,50/103,28/62,124/225,15/19,11/9,46/121,10/8,49/78,54/42,46/41,38/62,38/162,0/7
Isthmus Mixe,mir,Mixe-Zoque,NumN,V,X,QuantN,102/52,43/33,22/13,16/5,14/4,5/1,34/18,3/0,0/1,11/6,0/6,14/21,0/0,1/2,4/2,28/9,0/0
Southern Puebla Mixtec,mit,Otomanguean,NumN,_,_,QuantN,641/14,106/15,67/5,36/4,42/1,9/0,68/8,6/1,0/0,24/1,3/3,47/20,7/1,12/0,16/4,86/7,4/0
Ayutla Mixtec,miy,Otomanguean,NumN,_,_,QuantN,777/42,121/26,74/15,56/8,42/4,11/0,76/10,6/1,3/2,21/5,5/2,31/27,7/2,10/0,19/1,113/4,4/0
Coatzospan Mixtec,miz,Otomanguean,NumN,_,_,QuantN,526/33,105/22,77/4,45/8,44/1,8/0,70/12,7/0,1/3,20/4,3/4,46/20,4/5,8/2,19/1,60/2,0/0
San Juan Colorado Mixtec,mjc,Otomanguean,NumN,V,X,QuantN,689/35,116/21,79/4,51/2,45/2,8/0,75/7,7/0,0/3,20/5,3/4,41/23,8/1,8/2,18/2,85/6,2/1
Karbi,mjw,Sino-Tibetan,NNum,V,X,_,246/95,65/54,38/42,14/26,17/24,7/3,24/56,2/6,2/1,11/12,3/3,21/33,1/4,0/9,2/14,42/37,1/0
Macedonian,mkd,Indo-European,NumN,_,_,QuantN,727/128,221/50,151/15,101/1,92/3,22/2,163/16,16/0,8/1,48/6,6/8,83/51,18/3,13/6,38/3,222/7,7/1
Mokole,mkl,Atlantic-Congo,NNum,_,_,NQuant,63/116,39/98,23/59,12/46,10/37,0/12,13/70,4/4,0/3,4/19,2/4,10/62,2/8,1/8,2/20,17/59,1/0
Kupang Malay,mkn,Austronesian,NumN,V,X,QuantN,607/66,112/43,86/14,29/7,32/14,9/4,95/22,7/0,2/3,22/11,3/6,34/22,10/1,14/3,25/2,42/8,2/0
Silacayoapan Mixtec,mks,Otomanguean,NumN,_,_,QuantN,670/39,114/15,79/5,51/2,43/2,10/0,80/5,6/1,0/1,18/5,4/3,46/24,6/1,9/3,24/0,98/4,0/0
Mape,mlh,Nuclear Trans New Guinea,NNum,V,X,NQuant,61/108,29/88,9/68,5/31,14/30,1/9,17/68,3/4,3/0,7/16,2/4,26/36,1/1,3/5,0/17,31/66,0/1
Bargam,mlp,Nuclear Trans New Guinea,_,_,_,NQuant,154/143,47/70,14/55,11/20,19/21,1/9,18/63,1/6,0/0,13/12,3/4,26/30,0/0,3/5,1/15,24/55,0/1
Maltese,mlt,Afro-Asiatic,NumN,_,_,QuantN,699/637,716/124,511/47,315/26,296/27,122/6,481/19,63/3,36/2,235/17,23/6,174/75,171/13,135/27,137/8,393/12,26/1
Mamanwa,mmn,Austronesian,NumN,_,_,QuantN,401/30,88/27,59/6,37/11,38/4,7/2,68/12,7/1,0/0,18/4,2/4,39/22,4/6,7/3,18/2,78/4,3/0
Mangga Buang,mmo,Austronesian,NNum,V,X,NQuant,86/61,44/77,15/64,17/22,22/18,2/15,22/92,4/7,0/0,8/14,1/5,17/42,4/1,0/7,0/18,32/57,0/1
Madak,mmx,Austronesian,NumN,_,_,QuantN,380/32,101/21,75/10,52/2,43/1,10/1,77/6,8/0,4/0,26/1,2/3,45/18,3/0,10/5,30/4,65/16,2/0
Mbula,mna,Austronesian,NNum,V,1/2,_,69/35,42/119,25/85,10/36,12/30,6/14,22/111,1/5,0/1,11/30,0/7,11/46,7/10,1/15,2/29,30/26,0/0
Muna,mnb,Austronesian,NumN,V,X,QuantN,289/60,95/41,74/10,30/21,42/4,10/2,60/30,7/0,4/0,18/6,1/5,62/34,3/0,9/0,26/6,72/4,1/0
Mundani,mnf,Atlantic-Congo,NNum,_,_,_,88/106,38/90,10/60,7/34,14/35,2/7,17/69,0/7,1/0,7/20,0/5,11/50,0/6,0/12,1/18,32/39,0/0
Mono (Democratic Republic of Congo),mnh,Atlantic-Congo,NNum,_,_,NQuant,132/92,47/75,15/59,13/32,16/24,1/10,12/70,5/3,2/2,7/16,0/5,11/48,0/2,1/6,1/18,26/41,1/0
Mandinka,mnk,Mande,NNum,_,_,NQuant,50/255,27/119,6/82,7/51,6/41,0/12,9/81,2/6,1/4,5/22,1/4,10/65,1/8,2/7,0/29,13/98,1/4
Manikion,mnx,East Bird's Head,NNum,V,1/2,_,43/18,38/61,21/44,19/23,10/25,4/5,16/54,2/3,0/0,5/13,1/5,16/47,0/0,0/4,3/14,24/22,1/1
Mocoví,moc,Guaicuruan,NumN,_,_,QuantN,393/22,110/23,66/10,41/0,42/1,12/0,74/11,7/0,0/0,21/3,3/4,47/18,2/1,6/4,20/1,92/1,0/0
Mongondow,mog,Austronesian,NumN,V,X,QuantN,417/57,72/66,52/19,26/24,38/8,8/4,43/35,7/0,0/1,16/7,1/6,29/29,6/4,4/3,21/1,58/5,0/0
Mohawk,moh,Iroquoian,_,_,_,QuantN,6/0,7/3,4/0,5/1,6/0,1/0,0/0,2/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,8/0,0/0
Mopán Maya,mop,Mayan,NumN,V,X,QuantN,475/35,111/18,66/3,30/6,44/2,9/3,74/13,7/0,0/5,20/4,4/3,38/18,5/1,8/2,19/2,76/7,1/0
Moro,mor,Heibanic,NNum,V,X,_,100/99,46/57,22/47,10/37,6/32,2/9,20/66,6/3,0/0,7/18,1/1,14/51,4/5,2/8,3/15,40/42,1/0
Mossi,mos,Atlantic-Congo,NNum,_,_,NQuant,122/217,79/191,24/125,13/79,15/74,3/21,19/147,1/14,2/2,11/40,2/11,23/117,0/15,0/13,6/36,35/121,0/1
Molima,mox,Austronesian,NNum,V,1/2,_,311/78,39/68,16/58,14/23,12/25,2/8,15/63,1/10,0/0,5/17,4/2,28/30,0/1,0/8,1/13,18/21,0/1
Marba,mpg,Afro-Asiatic,NNum,_,_,NQuant,113/125,31/103,17/62,8/38,8/37,0/12,22/65,2/6,1/0,3/22,0/7,22/51,1/6,4/7,3/26,29/54,0/0
Maung,mph,Iwaidjan Proper,_,_,_,_,3/1,10/2,5/0,1/1,2/2,1/1,4/1,0/0,0/0,1/0,0/0,4/3,0/0,0/0,0/0,0/0,0/0
Yosondúa Mixtec,mpm,Otomanguean,NumN,_,_,QuantN,697/29,113/15,70/8,50/5,46/0,9/0,72/5,8/0,0/0,20/5,4/3,46/18,9/1,7/3,18/1,77/0,5/0
Migabac,mpp,Nuclear Trans New Guinea,NNum,V,X,_,54/101,20/58,8/32,8/5,12/16,0/5,8/18,1/5,4/0,11/7,1/4,14/14,0/0,0/6,0/14,14/21,0/0
Dadibi,mps,Teberan,NumN,_,_,QuantN,470/347,202/306,163/137,81/77,69/46,41/27,204/96,15/9,10/2,108/45,16/4,72/41,53/24,52/20,68/17,73/65,6/0
Mian,mpt,Nuclear Trans New Guinea,NNum,_,_,_,42/46,56/45,33/28,14/43,13/30,5/13,14/63,4/2,0/0,8/12,0/6,10/28,0/0,1/7,1/14,12/13,0/0
Misima-Panaeati,mpx,Austronesian,NNum,V,X,NQuant,114/235,47/137,34/90,21/24,25/29,2/22,26/66,2/7,5/1,9/29,1/7,25/42,5/9,2/25,7/31,20/59,0/5
Mbuko,mqb,Afro-Asiatic,NNum,V,X,NQuant,83/90,41/93,9/77,13/32,5/39,1/12,25/66,5/2,0/5,6/15,0/7,4/52,2/1,1/6,2/24,16/45,0/0
Mamasa,mqj,Austronesian,NumN,V,X,QuantN,391/32,106/19,57/16,45/3,39/1,11/1,72/8,6/1,0/4,22/0,2/5,44/22,8/1,9/3,19/1,78/0,1/0
Manggarai,mqy,Austronesian,NumN,V,X,QuantN,523/66,100/35,66/16,44/9,43/4,10/2,80/10,7/0,0/5,22/3,1/7,44/27,6/1,6/1,17/1,81/11,4/0
Mising,mrg,Sino-Tibetan,_,V,X,QuantN,42/71,27/51,32/17,7/5,8/20,5/2,11/16,4/2,0/0,10/5,3/1,36/13,0/1,5/3,7/5,78/8,0/0
Maori,mri,Austronesian,NumN,_,_,QuantN,3464/290,473/366,332/134,172/114,197/84,91/27,250/153,47/12,30/6,170/65,12/10,105/72,170/36,125/31,97/28,188/71,10/9
Maranao,mrw,Austronesian,NumN,_,_,QuantN,346/14,120/17,66/16,52/2,45/1,9/3,81/8,7/1,0/1,25/1,3/4,52/24,9/1,9/2,23/0,102/5,3/0
Malay (macrolanguage),msa,_,NumN,V,X,QuantN,1917/274,351/91,225/29,153/12,130/9,31/5,234/29,21/0,0/11,60/14,7/11,154/67,22/3,25/3,79/0,340/59,13/2
Masbatenyo,msb,Austronesian,NumN,_,_,QuantN,469/37,102/20,80/8,36/0,36/5,9/1,78/9,7/0,0/0,18/5,3/4,30/25,6/0,4/0,17/1,87/3,3/1
Sankaran Maninka,msc,Mande,NNum,V,X,_,25/56,5/43,2/26,5/8,2/14,0/3,1/48,6/4,7/1,3/13,0/2,2/8,2/9,6/12,3/11,0/2,0/0
Musey,mse,Afro-Asiatic,NNum,_,_,NQuant,123/108,3/110,13/63,19/24,9/32,1/12,15/69,1/7,0/1,7/16,2/3,9/62,1/8,1/6,4/22,16/35,0/0
Mansaka,msk,Austronesian,NumN,_,_,QuantN,256/20,103/18,65/6,40/2,39/5,10/2,70/12,5/1,0/1,21/2,3/4,56/18,7/2,7/3,17/2,81/0,1/0
Agusan Manobo,msm,Austronesian,NumN,V,X,QuantN,372/34,88/22,53/11,35/3,40/1,8/3,66/12,6/0,0/3,22/0,4/3,31/22,4/0,4/0,15/1,73/1,1/1
Aruamu,msy,Lower Sepik-Ramu,NumN,V,3/4,NQuant,83/206,43/73,27/72,31/13,31/12,5/5,62/23,5/1,4/0,20/6,4/3,40/17,4/0,6/2,15/1,33/56,0/2
Cotabato Manobo,mta,Austronesian,NumN,V,X,QuantN,342/23,113/15,74/8,47/2,44/3,9/3,73/8,7/1,0/4,19/3,3/4,46/20,3/0,7/1,16/2,60/1,1/0
Una,mtg,Nuclear Trans New Guinea,_,_,_,_,108/115,54/55,18/54,15/21,24/19,1/9,27/52,4/3,0/0,7/14,2/4,28/29,2/1,2/8,6/23,28/27,0/1
Maiwa (Papua New Guinea),mti,Dagan,NNum,_,_,NQuant,51/166,41/90,6/77,9/42,15/33,1/9,17/68,1/7,1/4,9/13,3/4,31/29,0/2,1/9,0/18,12/74,0/2
Moskona,mtj,East Bird's Head,NNum,V,1/3,_,84/15,60/50,14/52,7/23,9/34,2/5,18/60,5/3,0/0,7/14,0/7,10/43,3/4,0/5,2/15,28/22,0/0
Totontepec Mixe,mto,Mixe-Zoque,NumN,_,_,QuantN,517/28,115/20,69/4,46/3,44/1,8/3,75/7,6/0,1/0,21/3,3/3,43/20,8/0,12/0,19/0,85/4,1/0
Wichí Lhamtés Nocten,mtp,Matacoan,NNum,V,X,QuantN,185/39,65/62,28/49,29/21,16/25,5/5,18/62,7/4,0/0,11/18,0/6,22/51,2/4,5/4,4/17,100/6,2/1
Mundang,mua,Atlantic-Congo,NNum,_,_,NQuant,97/150,31/112,10/81,11/42,11/37,2/10,11/77,0/7,1/4,5/18,0/7,6/65,0/7,0/8,0/22,13/45,0/2
Mündü,muh,Atlantic-Congo,NNum,V,1/2,QuantN,216/46,33/69,17/53,15/11,8/34,2/7,21/50,1/6,0/3,8/13,2/4,14/41,1/2,0/5,2/16,61/3,1/0
Murle,mur,Surmic,NNum,_,_,_,130/100,30/85,12/68,15/34,13/32,1/11,17/56,1/6,1/4,6/14,0/6,10/49,0/0,0/11,3/18,37/46,1/1
Bo-Ung,mux,Nuclear Trans New Guinea,NNum,_,_,_,48/54,43/61,14/54,6/23,16/21,5/5,10/70,1/3,0/0,6/26,4/2,18/32,2/1,0/5,4/12,23/33,0/0
Muyang,muy,Afro-Asiatic,NNum,_,_,_,112/114,38/104,7/77,9/39,3/17,0/13,26/57,5/5,1/1,4/19,0/6,10/64,0/1,2/4,3/31,31/46,1/1
Manam,mva,Austronesian,NNum,_,_,NQuant,155/191,31/83,23/49,18/19,10/31,1/7,24/55,0/6,0/0,10/12,1/5,30/30,1/1,4/2,2/13,29/51,0/2
Minaveha,mvn,Austronesian,NNum,V,1/3,NQuant,299/82,54/70,19/55,5/27,13/29,0/9,21/54,2/3,1/0,4/18,3/3,27/28,0/1,1/7,2/15,13/26,1/1
Duri,mvp,Austronesian,NumN,_,_,QuantN,341/32,101/23,65/12,45/3,43/3,9/3,68/10,6/1,0/1,18/6,7/2,47/18,5/0,9/0,32/0,76/3,0/0
Are,mwc,Austronesian,_,_,_,_,26/27,9/15,5/6,0/0,7/6,1/2,3/5,1/1,1/0,4/6,2/0,5/5,0/0,0/1,0/1,5/6,0/0
Murrinh-Patha,mwf,Southern Daly,_,_,_,_,1/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Sar,mwm,Central Sudanic,NNum,_,_,NQuant,413/450,112/514,71/326,52/174,19/155,14/91,38/327,6/41,7/22,34/127,2/17,29/110,18/115,14/101,7/104,45/90,3/4
Kala Lagaw Ya,mwp,Pama-Nyungan,NumN,_,_,QuantN,146/19,68/9,35/1,12/1,27/4,6/0,16/6,3/0,3/0,12/0,4/1,27/8,1/0,3/4,4/0,27/7,3/0
Mün Chin,mwq,Sino-Tibetan,NNum,_,_,NQuant,80/199,28/91,22/54,5/17,7/31,0/10,17/66,1/5,0/0,4/15,3/2,13/40,0/2,2/5,3/15,22/39,1/2
Mentawai,mwv,Austronesian,NumN,V,X,QuantN,410/64,109/20,73/12,35/14,46/1,11/0,57/22,7/1,1/2,16/4,1/4,28/17,7/2,6/0,21/0,68/5,3/0
Hmong Daw,mww,Hmong-Mien,NumN,_,_,QuantN,635/32,124/14,81/7,53/3,46/1,11/0,80/9,8/0,5/0,26/0,5/2,56/15,8/0,6/4,21/0,66/10,0/0
Tezoatlán Mixtec,mxb,Otomanguean,NumN,_,_,QuantN,757/38,121/16,80/8,56/1,45/1,8/0,78/7,6/1,2/3,22/3,4/3,49/20,10/0,8/2,19/1,88/7,3/0
Tlahuitoltepec Mixe,mxp,Mixe-Zoque,NumN,_,_,QuantN,317/43,83/22,61/2,37/2,36/4,9/0,67/7,5/0,0/1,19/2,3/2,37/17,1/0,4/4,13/5,52/5,1/0
